variable,pressure_variable,lag_months,n,pearson_corr
S03,Monthly_Total_Pressure,0,120,0.6697516910718107
J01,Monthly_Total_Pressure,0,120,0.6478249606649042
J02,Monthly_Total_Pressure,0,120,0.6334562860127338
R05,Monthly_Total_Pressure,0,120,0.5933130339671556
R06,Monthly_Total_Pressure,5,115,0.3554440989704771
R03,Monthly_Total_Pressure,0,120,0.26012854041835876
S03,Monthly_Trolley_Total,0,120,0.696097943784555
J01,Monthly_Trolley_Total,0,120,0.6175849281310732
J02,Monthly_Trolley_Total,0,120,0.5503027134543539
R05,Monthly_Trolley_Total,0,120,0.5462415572995025
R06,Monthly_Trolley_Total,5,115,0.3415739559742487
R03,Monthly_Trolley_Total,0,120,0.2842984393824738
J02,Monthly_Ward_Total,0,120,0.668820808173619
J01,Monthly_Ward_Total,1,119,0.5837973723563081
R05,Monthly_Ward_Total,0,120,0.5634630704504399
S03,Monthly_Ward_Total,2,118,0.48699795578781196
R06,Monthly_Ward_Total,6,114,0.3149200157050067
R03,Monthly_Ward_Total,0,120,0.15546525575250705
